Word,Syllables,Syllable Occurrence Counts,Bigrams,Bigram Occurrence Counts,Zipf
op,"[""'Op""]",[413936.0],['op'],[976321.0],6.903086294498336
stoel,"[""'stul""]",[2279.0],"['st', 'to', 'oe', 'el']","[2307098.0, 2236591.0, 837795.0, 4671207.0]",4.705750345200918
gelegd,,[],"['ge', 'el', 'le', 'eg', 'gd']","[3692145.0, 4671207.0, 4397946.0, 1125580.0, 109191.0]",4.261298207234623
jochem,,[],"['jo', 'oc', 'ch', 'he', 'em']","[866375.0, 270017.0, 1999086.0, 822995.0, 924741.0]",1.6565323225307358
altijd,"[""'Al"", 'tKt']","[157526.0, 50179.0]","['al', 'lt', 'ti', 'ij', 'jd']","[2558689.0, 1858662.0, 1353437.0, 1639122.0, 163477.0]",5.986824313998892
te,"[""'t@""]",[343019.0],['te'],[3522714.0],6.8908217694646705
hoog,"[""'hox""]",[10716.0],"['ho', 'oo', 'og']","[1237078.0, 3901750.0, 285914.0]",4.797354502640046
springt,,[],"['sp', 'pr', 'ri', 'in', 'ng', 'gt']","[1518373.0, 242781.0, 1787712.0, 2264626.0, 2927082.0, 21874.0]",4.06051028620009
tijdens,"[""'tK"", 'd@ns']","[8747.0, 5920.0]","['ti', 'ij', 'jd', 'de', 'en', 'ns']","[1353437.0, 1639122.0, 163477.0, 2559661.0, 8542439.0, 612425.0]",5.125543881186424
basketbal,"[""'bAs"", 'k@d', 'bAl']","[1070.0, 491.0, 2647.0]","['ba', 'as', 'sk', 'ke', 'et', 'tb', 'ba', 'al']","[584273.0, 504791.0, 146903.0, 3143026.0, 1684914.0, 118193.0, 584273.0, 2558689.0]",3.9420896315385097
enkel,"[""'EN"", 'k@l']","[6398.0, 19692.0]","['en', 'nk', 'ke', 'el']","[8542439.0, 476574.0, 3143026.0, 4671207.0]",5.0520334468363615
bezeerd,,[],"['be', 'ez', 'ze', 'ee', 'er', 'rd']","[2443609.0, 100963.0, 1671440.0, 944702.0, 6799370.0, 823655.0]",3.683881930305492
politieman,"['po', ""'li"", 'tsi', 'mAn']","[26918.0, 42609.0, 58762.0, 9903.0]","['po', 'ol', 'li', 'it', 'ti', 'ie', 'em', 'ma', 'an']","[490468.0, 2233880.0, 3369152.0, 333345.0, 1353437.0, 2076673.0, 924741.0, 957657.0, 4143386.0]",4.116678140022486
agressieve,,[],"['ag', 'gr', 're', 'es', 'ss', 'si', 'ie', 'ev', 've']","[400262.0, 789301.0, 1607974.0, 1784615.0, 1070262.0, 1091620.0, 2076673.0, 317289.0, 1767776.0]",3.4760762580726046
kraker,"[""'kra"", 'k@r']","[1009.0, 83721.0]","['kr', 'ra', 'ak', 'ke', 'er']","[88851.0, 2220035.0, 762048.0, 3143026.0, 6799370.0]",2.6979250076889607
arresteert,,[],"['ar', 'rr', 're', 'es', 'st', 'te', 'ee', 'er', 'rt']","[1754491.0, 200692.0, 1607974.0, 1784615.0, 2307098.0, 3522714.0, 944702.0, 6799370.0, 1154116.0]",3.4310492882592856
gaat,,[],"['ga', 'aa', 'at']","[446758.0, 2730922.0, 996808.0]",6.351497091233899
hardhandig,"['hArt', ""'hAn"", 'd@x']","[628.0, 18306.0, 96671.0]","['ha', 'ar', 'rd', 'dh', 'ha', 'an', 'nd', 'di', 'ig']","[1299761.0, 1754491.0, 823655.0, 6927.0, 1299761.0, 4143386.0, 2576478.0, 1050254.0, 960409.0]",3.071505670501554
werk,"[""'wErk""]",[31839.0],"['we', 'er', 'rk']","[1965886.0, 6799370.0, 2174749.0]",5.828945500321517
staker,"[""'sta"", 'k@r']","[13849.0, 83721.0]","['st', 'ta', 'ak', 'ke', 'er']","[2307098.0, 892070.0, 762048.0, 3143026.0, 6799370.0]",1.6565323225307358
angstige,,[],"['an', 'ng', 'gs', 'st', 'ti', 'ig', 'ge']","[4143386.0, 2927082.0, 1154969.0, 2307098.0, 1353437.0, 960409.0, 3692145.0]",3.2305635902584546
dames,,[],"['da', 'am', 'me', 'es']","[1096946.0, 930317.0, 1659354.0, 1784615.0]",5.11750529624187
bekogelt,,[],"['be', 'ek', 'ko', 'og', 'ge', 'el', 'lt']","[2443609.0, 762098.0, 466342.0, 285914.0, 3692145.0, 4671207.0, 1858662.0]",1.832623581586417
ver,"[""'vEr""]",[24531.0],"['ve', 'er']","[1767776.0, 6799370.0]",5.1152456944644795
journalist,"['Zur', 'na', ""'lIst""]","[1135.0, 56112.0, 1808.0]","['jo', 'ou', 'ur', 'rn', 'na', 'al', 'li', 'is', 'st']","[866375.0, 846499.0, 346154.0, 503424.0, 523332.0, 2558689.0, 3369152.0, 3439538.0, 2307098.0]",4.2092005386429285
bondscoach,"[""'bOnts"", 'kotS']","[6.0, 2.0]","['bo', 'on', 'nd', 'ds', 'sc', 'co', 'oa', 'ac', 'ch']","[1606593.0, 2451854.0, 2576478.0, 357110.0, 1079447.0, 488809.0, 24840.0, 404620.0, 1999086.0]",1.832623581586417
interviewt,,[],"['in', 'nt', 'te', 'er', 'rv', 'vi', 'ie', 'ew', 'wt']","[2264626.0, 1477178.0, 3522714.0, 6799370.0, 59129.0, 226005.0, 2076673.0, 587000.0, 9874.0]",2.656532322530736
wil,"[""'wIl""]",[205752.0],"['wi', 'il']","[658045.0, 2591190.0]",6.595682018054957
weten,"[""'we"", 't@']","[92176.0, 603753.0]","['we', 'et', 'te', 'en']","[1965886.0, 1684914.0, 3522714.0, 8542439.0]",5.986296197544052
zuster,"[""'z}s"", 't@r']","[9739.0, 199618.0]","['zu', 'us', 'st', 'te', 'er']","[95553.0, 727825.0, 2307098.0, 3522714.0, 6799370.0]",4.850769071254565
