,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
339,adviseert,ˌɑdvizˈɪrt,ɑd - vi - zɪrt,3688,56663,25261.666666666668
340,ligt,lˈɪxt,lɪxt,3521,3521,3521.0
341,zorgen,zˈɔrɣən,zɔr - ɣən,7694,444799,226246.5
342,uitlegt,ˈœytlˌɛxt,œyt - lɛxt,3022,235788,119405.0
343,complete,kɔmplˈeːtə,kɔm - pleː - tə,1573,995799,403402.6666666667
344,woonplaats,ʋˈoːnplˌaːts,ʋoːn - plaːts,2198,14293,8245.5
345,bureaucratie,byrˈoːkraːtsˌi,by - roː - kraːt - si,478,48208,21447.25
346,darmen,dˈɑrmən,dɑr - mən,2201,213456,107828.5
347,makelaar,maːkˈɛlaːr,maː - kɛ - laːr,4916,167764,59518.333333333336
348,zaal,zˈaːl,zaːl,1569,1569,1569.0
349,drie,drˈi,dri,29521,29521,29521.0
350,centrale,sɛntrˈaːlə,sɛn - traː - lə,7596,855914,292219.6666666667
351,bonus,bˈoːnɵs,boː - nɵs,16,40944,20480.0
352,genoeg,ɣənˈux,ɣə - nux,26387,805074,415730.5
353,actiegroep,ˈɑksiɣrˌup,ɑk - si - ɣrup,594,48208,29658.666666666668
354,verrassingen,vərrˈɑsɪŋən,vər - rɑ - sɪŋ - ən,2451,61458,23893.75
355,bedrijven,bədrˈɛɪvən,bə - drɛɪ - vən,14312,278838,104724.33333333333
356,tabak,tˈaːbɑk,taː - bɑk,1507,63157,32332.0
357,behandelt,bəhˈɑndəlt,bəh - ɑn - dəlt,863,1517022,507217.3333333333
358,tweede,tʋˈeːdə,tʋeː - də,8203,208410,108306.5
359,puber,pˈybər,py - bər,5849,7533,6691.0
360,kom,kˈɔm,kɔm,212836,212836,212836.0
361,vastgesteld,vˈɑstɣɛstəlt,vɑst - ɣɛ - stəlt,731,24912,9403.666666666666
362,raadplegen,raːdplˈeːɣən,raːd - pleː - ɣən,1573,444799,149396.66666666666
363,bedoeling,bədˈulˌɪŋ,bə - du - lɪŋ,3926,21023,12905.0
364,brengen,brˈɛŋən,brɛŋ - ən,2451,31050,16750.5
365,afkomen,ˈɑfkˌoːmən,ɑf - koː - mən,60153,213456,112579.66666666667
366,kraan,krˈaːn,kraːn,8,8,8.0
367,lekkages,lɛkˈaːʒəs,lɛ - kaː - ʒəs,864,161906,83868.0
368,richard,rˈɪxɑrt,rɪx - ɑrt,4712,16866,10789.0
