,Count
hErts,31.0
xAs,248.0
hOs,22.0
stel,40.0
'mezd,0.0
'slOg,32.0
'rar,3712.0
'rKst,448.0
'tep,752.0
'b|k,87.0
'mIlg,0.0
'zIft,3.0
lum,0.0
tAj,27.0
snIk,1.0
'aN,14469.0
'drIst,0.0
'nj|s,1.0
vat,14.0
tOxt,1057.0
blM,1.0
mAx,23.0
'fl}s,0.0
GrOt,0.0
'wIr,10.0
j|,11.0
'rom,406.0
'tKk,353.0
Ark,1.0
xuts,0.0
p}nts,2.0
On,38940.0
bAnt,1170.0
x@s,0.0
ErG,0.0
'brAnd,1043.0
k}rk,4.0
'kwArts,13.0
'd),0.0
stu,4.0
'kIN,96.0
met,8.0
'twK,2551.0
'hoxst,297.0
sxats,8.0
'bArn,55.0
'kOlv,0.0
pas,2.0
stEp,11.0
'k}st,1711.0
smet,0.0
'jot,5757.0
rEt,1.0
GIs,353.0
'Gat,88.0
'tLt,32.0
kAS,0.0
'smIr,0.0
'sErt,639.0
'tOrs,4.0
'tOk,46.0
xOdz,44.0
'pruv,41.0
'Am,1688.0
fAN,280.0
'brLN,3.0
leN,0.0
foj,0.0
stans,0.0
'os,998.0
'slof,42.0
l@ks,3126.0
GOn,22.0
sL,453.0
trM,818.0
'sxIm,42.0
stErk,68.0
fONk,14.0
'fAn,26.0
'kurz,0.0
'tKN,2.0
hI,27.0
'slu,194.0
'snOl,105.0
'sA,575.0
'sxOrt,123.0
zLn,0.0
'hyr,2036.0
vMts,1.0
'AGd,84.0
'bred,5.0
pur,0.0
sprut,1.0
dErf,5.0
prek,12.0
'strAkt,66.0
vOnt,31319.0
'toG,0.0
'klO,1385.0
p@rz,0.0
vlOk,14.0
'dIt,206638.0
'vKx,10.0
'smK,94.0
'wAt,1292.0
'bOp,2847.0
'slew,0.0
'tind,0.0
dAp,1.0
'slLb,0.0
pOr,1998.0
'prok,0.0
'l},14052.0
'rLm,5592.0
hAnts,3.0
'snes,0.0
'p|k,118.0
'krit,212.0
'j}Nkt,42.0
'spel,1518.0
soj,1609.0
twe,303.0
'ky,906.0
swu,0.0
'wEz,0.0
mInzd,0.0
dir,1071.0
'x|t,0.0
s}b,138.0
'bew,0.0
_Et,0.0
'}b,9.0
'want,175.0
'vyr,6148.0
trAg,0.0
mAs,461.0
t@nst,0.0
kAr,1629.0
'krOm,272.0
kwat,15.0
mwA,0.0
'sxroj,0.0
skre,1.0
'vrK,18534.0
pl|,2.0
'sxamt,277.0
'mMw,188.0
zwaj,20.0
strep,41.0
plIs,0.0
Elf,5.0
lK,4853.0
dON,55.0
'drAnt,63.0
'xil,0.0
'fErs,0.0
sINs,90.0
vEst,24.0
'lM,798.0
xrMw,0.0
vA,7656.0
hEx,5.0
mKl,5.0
'zAlm,236.0
'ban,6951.0
'pi,5886.0
krKx,1.0
Er,84639.0
'mOld,0.0
p}n,25.0
'snIt,13.0
'sxEG,0.0
'd}kt,73.0
'r}N,0.0
'vOs,332.0
'n|rs,22.0
brOnst,0.0
swAm,2.0
'b|x,0.0
'dans,0.0
Eks,4460.0
'bAnt,4939.0
sxIl,1202.0
drOs,0.0
'vAls,1188.0
'sxrik,3.0
'ruN,0.0
spra,1.0
bu,868.0
doj,0.0
'snKd,0.0
'mis,3.0
stOk,231.0
lOtl,3.0
ser,37.0
krom,0.0
rLf,0.0
'dOs,34.0
zes,0.0
'wOrx,0.0
pso,18.0
'blik,2179.0
'kElg,1.0
'frLt,597.0
'vAlk,113.0
'lInt,506.0
sor,3.0
kAk,4.0
Em,179.0
'tuS,15.0
rKz,0.0
s@rs,7.0
p}p,11.0
'zIGd,825.0
'prO,123.0
'Sa,99.0
'smArt,88.0
'lO,3267.0
'plIxt,1905.0
'sma,808.0
'plEm,5.0
'grIl,97.0
rIxt,381.0
dr|,7.0
so,8899.0
'smLkt,0.0
'nakt,1376.0
Ser,6.0
k|,675.0
lEms,0.0
'sxrA,212.0
'fon,7951.0
bOt,1887.0
telt,49.0
tr<,107.0
'strer,1.0
vIr,71.0
'sprKd,0.0
vardz,0.0
mOlm,1.0
S}p,2.0
'tAns,534.0
'ojt,20345.0
'det,0.0
'bruj,108.0
'fl}t,15.0
trI,11.0
kMw,20.0
'nar,195818.0
lIt,1183.0
kAlkt,1.0
'buf,307.0
'nirt,47.0
'bru,2070.0
'fra,26.0
'tOxt,519.0
'sxEl,185.0
p@N,53.0
'tsi,780.0
'wAf,21.0
tre,604.0
'strOp,191.0
'Gin,5.0
'Gru,315.0
s}rn,3.0
stIk,114.0
ip,0.0
'pINk,135.0
'it,145.0
'stL,415.0
'zwul,16.0
'dENk,165.0
'sAr,20.0
'ben,2498.0
'j}f,206.0
blaz,2.0
krOp,0.0
'Kn,9383.0
'twal,0.0
'vIm,1.0
g@nt,0.0
'Arn,0.0
'spO,280.0
'nam,21146.0
'lES,0.0
'bIn,2354.0
'fraN,0.0
'if,1.0
m}m,391.0
GEnt,810.0
'kOrt,5262.0
'krKd,0.0
prEt,6.0
'blax,11.0
knLst,0.0
'hArt,10091.0
'herz,18.0
mAGd,62.0
lOdz,0.0
plAnt,53.0
vluts,0.0
'kKk,47762.0
'mErkt,788.0
'plAn,7012.0
'sOn,376.0
G}s,127.0
stIxt,15.0
dre,1.0
'mEst,155.0
'wre,415.0
'pAz,4.0
'nOj,0.0
'flArt,1.0
lok,213.0
dun,4736.0
rats,19.0
sxEp,3.0
kr)m,0.0
v@ns,183.0
'mMt,7.0
bEk,166.0
'sIl,28.0
'xAm,0.0
'slip,1158.0
splIn,10.0
z}lt,0.0
'hON,45.0
bl@,25.0
'rAx,7.0
GIt,0.0
sMs,136.0
'v|s,1879.0
'flM,10.0
drKf,884.0
mAls,0.0
'frLd,2.0
fIl,211.0
pis,5346.0
'est,1.0
'knMw,6.0
'fKN,7.0
'dwI,933.0
'rL,2922.0
'z}lk,307.0
s@r,3615.0
vluj,28.0
'pos,316.0
sxMw,20.0
dAlf,0.0
'xat,4.0
Ld,40.0
'drOS,0.0
dEk,213.0
'mOrs,1.0
'rEpt,24.0
lip,0.0
't}lp,21.0
nIm,6.0
'sx|,527.0
bIks,46.0
lEN,124.0
hur,0.0
'zwAm,34.0
d}l,0.0
'Glo,0.0
'fA,2572.0
tS@n,13.0
strLf,0.0
'slo,5068.0
trAs,1.0
'spK,955.0
l@x,21003.0
mINs,50.0
ksi,8.0
dEnt,328.0
'j|Gd,28.0
kI,166.0
'prOt,7.0
'vOrk,244.0
aN,213.0
'_ug,1.0
GOt,28.0
dINz,327.0
sxIf,0.0
sp}l,1.0
'vLz,3.0
tSO,0.0
'es,180.0
rEks,0.0
'leb,0.0
'fjer,2.0
zwK,56.0
'tIr,0.0
fLf,10.0
bLl,34.0
nem,45.0
'krLst,61.0
wIt,1199.0
'krAk,7.0
'nu,8310.0
'lOk,356.0
'plOn,2.0
zLt,15.0
'vuls,32.0
'd}Nk,104.0
xEsp,0.0
'zwErv,1.0
'tso,0.0
vyr,180.0
'bluj,102.0
vANst,1.0
'stAps,3.0
s}m,857.0
'parts,0.0
'zwIn,0.0
'helt,0.0
'kOx,0.0
'bIz,36.0
'jAN,318.0
'lOz,99.0
'hAt,0.0
'bAjn,7.0
'hOnts,22.0
'nKl,73.0
'lEG,30.0
'twa,0.0
rLl,22.0
mAnt,85055.0
'Alt,17.0
bry,979.0
GrEn,1.0
'tKn,8413.0
sprON,602.0
'pOd,0.0
'lAxs,1.0
no,9680.0
GA,283.0
kKg,2.0
'br}n,32.0
'slap,6852.0
