,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
257,jongeman,jˈɔŋəmˌɑn,jɔŋ - ə - mɑn,842,116031,50319.0
258,onlangs,ɔnlˈɑŋs,ɔn - lɑŋs,41,320570,160305.5
259,gaf,ɣˈɑf,ɣɑf,104,104,104.0
260,portier,pɔrtˈir,pɔr - tir,707,4609,2658.0
261,sterke,stˈɛrkə,stɛr - kə,15305,671009,343157.0
262,feest,fˈeːst,feːst,6,6,6.0
263,beren,bˈɪːrən,bɪː - rən,6659,13985,10322.0
264,groot,ɣrˈoːt,ɣroːt,6740,6740,6740.0
265,betoverde,bətˈoːvərdə,bə - toː - vər - də,102068,222213,180807.25
266,knappe,knˈɑpə,knɑ - pə,2483,18070,10276.5
267,inhuurde,ˈɪnhˌyrdə,ɪnh - yr - də,8,208410,83064.0
268,elfje,ˈɛlfjə,ɛlf - jə,13965,74346,44155.5
269,schilder,sxˈɪldər,sxɪl - dər,3822,50286,27054.0
270,prinses,prɪnsˈɛs,prɪn - sɛs,89,155,122.0
271,tekent,tˈeːkənt,teː - kənt,18680,37943,28311.5
272,pap,pˈɑp,pɑp,5,5,5.0
273,vriendelijk,vrˈindələk,vrin - də - lək,417,208410,70350.33333333333
274,kokkin,kˈɔkɪn,kɔ - kɪn,2885,3078,2981.5
275,onder,ˈɔndər,ɔn - dər,50286,320570,185428.0
276,zit,zˈɪt,zɪt,49545,49545,49545.0
277,dakloze,dˈɑkloːzə,dɑ - kloː - zə,867,651101,218135.33333333334
278,verf,vˈɛrf,vɛrf,6,6,6.0
279,geen,ɣˈeːn,ɣeːn,33,33,33.0
280,burgers,bˈɵrɣərs,bɵr - ɣərs,75,2806,1440.5
281,kookt,kˈoːkt,koːkt,341,341,341.0
282,zin,zˈɪn,zɪn,11675,11675,11675.0
283,meer,mˈɪːr,mɪːr,3698,3698,3698.0
284,warme,ʋˈɑrmə,ʋɑr - mə,23421,691106,357263.5
285,dekens,dˈeːkəns,deː - kəns,171,124813,62492.0
286,nora,nˈoːraː,noː - raː,87117,156531,121824.0
287,arme,ˈɑrmə,ɑr - mə,205541,691106,448323.5
288,mensen,mˈɛnsən,mɛn - sən,6217,6843,6530.0
289,weeft,ʋˈeːft,ʋeːft,13,13,13.0
290,schutter,sxˈɵtər,sxɵ - tər,3106,183800,93453.0
291,gelukkig,ɣəlˈɵkəx,ɣə - lɵ - kəx,236,805074,272575.6666666667
292,gewelddadige,ɣəʋɛldˈaːdəɣə,ɣə - ʋɛl - daː - də - ɣə,37071,805074,432450.6
293,doodde,dˈoːdə,doː - də,30445,208410,119427.5
294,jullie,jɵlˈi,jɵ - li,355,243738,122046.5
295,directeur,dˌirɛktˈøːr,di - rɛk - tøːr,9031,441857,159564.66666666666
296,ruiter,rˈœytər,rœy - tər,404,183800,92102.0
297,al,ˈɑl,ɑl,738066,738066,738066.0
298,eerder,ˈɪːrdər,ɪːr - dər,5466,50286,27876.0
299,geweest,ɣəʋˈeːst,ɣə - ʋeːst,23141,805074,414107.5
300,geliefde,ɣəlˈivdə,ɣə - liv - də,1844,805074,338442.6666666667
301,paarden,pˈaːrdən,paːr - dən,3646,467900,235773.0
302,veroordeeld,vərˈɔːrdeːlt,və - rɔːr - deːlt,2,560966,188870.33333333334
303,streelde,strˈeːldə,streːl - də,33,208410,104221.5
304,winnaar,ʋˈɪnaːr,ʋɪ - naːr,961,9057,5009.0
305,raadsman,rˈaːdsmɑn,raːd - smɑn,278,1735,1006.5
306,geworden,ɣəʋˈɔrdən,ɣə - ʋɔr - dən,117030,805074,463334.6666666667
307,bijstond,bˈɛɪstˌɔnt,bɛ - ɪ - stɔnt,8538,845556,296029.0
308,delinquent,dˌeːlɪnkvˈɛnt,deː - lɪnk - vɛnt,78,124813,45400.666666666664
309,radio,rˈaːdiˌoː,raː - di - oː,23008,441857,207132.0
310,peuters,pˈøːtərs,pøː - tərs,712,10184,5448.0
311,opgesloten,ˈɔpɣəslˌoːtən,ɔp - ɣə - sloː - tən,9482,805074,227928.25
312,ouders,ˈʌʊdərs,ʌʊ - dərs,57273,714714,385993.5
313,alarmeren,ˌaːlɑrmˈɪːrən,aː - lɑr - mɪː - rən,6659,1385476,355127.0
314,in,ˈɪn,ɪn,906,906,906.0
315,dochters,dˈɔxtərs,dɔx - tərs,1062,10184,5623.0
316,paniek,paːnˈik,paː - nik,4182,87767,45974.5
317,bevrijden,bəvrˈɛɪdən,bə - vrɛ - ɪ - dən,37,845556,376007.75
318,huis,hˈœys,hœys,1844,1844,1844.0
319,naar,nˈaːr,naːr,961,961,961.0
320,opgelucht,ˈɔpɣəlˌɵxt,ɔp - ɣə - lɵxt,2245,805074,297423.6666666667
321,joost,jˈoːst,joːst,27,27,27.0
322,kidnapper,kˈɪdnɑpər,kɪd - nɑ - pər,425,9478,5133.666666666667
323,grijpt,ɣrˈɛɪpt,ɣrɛ - ɪpt,0,1807,903.5
324,bange,bˈɑŋə,bɑŋ - ə,190,34084,17137.0
325,directrice,dˌirɛktrˈisə,di - rɛk - tri - sə,10021,441857,180537.25
326,ontglipt,ɔntɣlˈɪpt,ɔnt - ɣlɪpt,187,65527,32857.0
327,bazin,bˈaːzɪn,baː - zɪn,11675,37328,24501.5
328,bang,bˈɑŋ,bɑŋ,190,190,190.0
329,kraag,krˈaːx,kraːx,1,1,1.0
330,rent,rˈɛnt,rɛnt,1319,1319,1319.0
331,diplomaat,dˌɪploːmˈaːt,dɪ - ploː - maːt,1502,6121,3620.0
332,starre,stˈɑɾrə,stɑɾ - rə,24,15583,7803.5
333,boswachter,bˈɔsʋɑxtər,bɔs - ʋɑx - tər,413,183800,63010.333333333336
334,deur,dˈøːr,døːr,25,25,25.0
335,nuchtere,nˈɵxtərə,nɵx - tə - rə,55,1672687,562775.0
336,opzichter,ˈɔpzˌɪxtər,ɔp - zɪx - tər,13809,183800,94187.0
337,onaardige,ɔnˈaːrdəɣə,ɔ - naːr - də - ɣə,961,805074,254927.0
338,man,mˈɑn,mɑn,116031,116031,116031.0
339,uitbuit,ˈœytbˌœyt,œyt - bœyt,14,34,24.0
340,werknemer,ʋˈɛrknˌeːmər,ʋɛrk - neː - mər,434,61826,22304.666666666668
341,strenge,strˈɛŋə,strɛŋ - ə,932,34084,17508.0
342,gehoorzaamt,ɣəhˈɔːrzaːmt,ɣəh - ɔːr - zaːmt,153,58290,20319.333333333332
343,gespannen,ɣəspˈɑnən,ɣə - spɑ - nən,2922,805074,272645.3333333333
344,kwijt,kʋˈɛɪt,kʋɛ - ɪt,77,1770,923.5
345,raken,rˈaːkən,raː - kən,8218,156531,82374.5
346,hun,hˈɵn,hɵn,33621,33621,33621.0
347,fans,fˈɑns,fɑns,515,515,515.0
348,baan,bˈaːn,baːn,217,217,217.0
349,bowlers,bˈɔʋlərs,bɔʋ - lərs,6,7,6.5
350,willen,ʋˈɪlən,ʋɪ - lən,9057,285422,147239.5
351,winnen,ʋˈɪnən,ʋɪ - nən,9057,9940,9498.5
352,ik,ˈɪk,ɪk,36,36,36.0
353,sporthelden,spˈɔrthˌɛldən,spɔrth - ɛl - dən,32,708635,392189.0
354,aanmoedigen,ˈaːnmˌudəɣən,aːn - mu - də - ɣən,1756,444799,167162.5
355,sprak,sprˈɑk,sprɑk,35,35,35.0
356,scheve,sxˈeːvə,sxeː - və,12775,560966,286870.5
357,nog,nˈɔx,nɔx,180288,180288,180288.0
358,torens,tˈoːrəns,toː - rəns,764,102068,51416.0
359,hans,hˈɑns,hɑns,33,33,33.0
360,hielp,hˈilp,hilp,1328,1328,1328.0
361,ontworpen,ɔntʋˈɔrpən,ɔnt - ʋɔr - pən,8687,117030,63748.0
362,hulpverlener,hˈɵlpvərlˌeːnər,hɵlp - vər - leː - nər,3556,222213,101142.75
363,bereden,bərˈeːdən,bə - reː - dən,179003,467900,279147.0
364,zag,zˈɑx,zɑx,1410,1410,1410.0
365,zwerver,zʋˈɛrvər,zʋɛr - vər,662,222213,111437.5
366,politie,poːlˈitsi,poː - lit - si,32418,44088,36451.0
367,rende,rˈɛndə,rɛn - də,2531,208410,105470.5
368,hij,hˈɛɪ,hɛ - ɪ,166009,845556,505782.5
369,zieke,zˈikə,zi - kə,91571,671009,381290.0
370,weg,ʋˈɛx,ʋɛx,2836,2836,2836.0
