,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF,n_syllables,Min_Syll_Zipf,First_syllable_zipf
73,vrije,vrˈɛɪə,vrɛɪ - ə,3237.0,2281166.0,1142201.5,"['vr', 'ri', 'ij', 'je']","[62231.0, 1787712.0, 1639122.0, 913788.0]",4.590778203553807,1718.0,3.235023159495224,2.0,5.645646881400537,5.645646881400537
74,dag,dˈɑx,dɑx,40154.0,40154.0,40154.0,"['da', 'ag']","[1096946.0, 400262.0]",5.92496987479219,37107.0,4.569455844240683,1.0,6.0145901864452185,6.0145901864452185
75,morgen,mˈɔrɣən,mɔr - ɣən,8206.0,444799.0,226502.5,"['mo', 'or', 'rg', 'ge', 'en']","[1055897.0, 2597583.0, 709881.0, 3692145.0, 8542439.0]",5.62326054351812,18524.0,4.267734772321856,2.0,5.781650653585155,5.781650653585155
76,krijgt,krˈɛɪxt,krɛɪxt,14336.0,14336.0,14336.0,"['kr', 'ri', 'ij', 'jg', 'gt']","[88851.0, 1787712.0, 1639122.0, 21485.0, 21874.0]",5.507637723728631,14194.0,4.152104800892868,1.0,5.383389669775397,5.383389669775397
77,ober,ˈoːbər,oː - bər,7533.0,23008.0,15270.5,"['ob', 'be', 'er']","[95880.0, 2443609.0, 6799370.0]",3.997966847108876,438.0,2.6414741105040997,2.0,5.355815086634715,6.695923768618035
78,beroemde,bərˈumdə,bə - rum - də,1147.0,208410.0,76860.0,"['be', 'er', 'ro', 'oe', 'em', 'md', 'de']","[2443609.0, 6799370.0, 1417238.0, 837795.0, 924741.0, 10432.0, 2559661.0]",4.26505835610793,811.0,2.909020854211156,3.0,4.341208681096528,6.969028573317883
79,president,prˌeːzidˈɛnt,preː - zi - dɛnt,421.0,32329.0,13548.666666666666,"['pr', 're', 'es', 'si', 'id', 'de', 'en', 'nt']","[242781.0, 1607974.0, 1784615.0, 1091620.0, 469631.0, 2559661.0, 8542439.0, 1477178.0]",5.105933575526956,5628.0,3.750354088762708,3.0,5.109342068908909,5.632021498573664
80,beledigde,bəlˈeːdɪɣdə,bə - leː - dɪɣ - də,1977.0,208410.0,69460.75,"['be', 'el', 'le', 'ed', 'di', 'ig', 'gd', 'de']","[2443609.0, 4671207.0, 4397946.0, 636500.0, 1050254.0, 960409.0, 109191.0, 2559661.0]",3.3286301804664533,93.0,1.968482948553935,4.0,6.239334097466095,6.969028573317883
81,arts,ˈɑrts,ɑrts,393.0,393.0,393.0,"['ar', 'rt', 'ts']","[1754491.0, 1154116.0, 235160.0]",4.512354227936766,1434.0,3.1565491513317814,1.0,4.664681947355329,4.664681947355329
82,vieze,vˈizə,vi - zə,56663.0,243958.0,150310.5,"['vi', 'ie', 'ez', 'ze']","[226005.0, 2076673.0, 100963.0, 1671440.0]",4.340029640210547,964.0,2.984077033902831,2.0,5.003269294155117,5.003269294155117
83,bandage,bɑndˈaːʒə,bɑn - daː - ʒə,8546.0,15995.0,11538.0,"['ba', 'an', 'nd', 'da', 'ag', 'ge']","[584273.0, 4143386.0, 2576478.0, 1096946.0, 400262.0, 3692145.0]",1.6565323225307358,1.0,0.0,3.0,4.957955764350629,4.957955764350629
84,verschoonde,vərsxˈoːndə,vər - sxoːn - də,2488.0,208410.0,90785.33333333331,"['ve', 'er', 'rs', 'sc', 'ch', 'ho', 'oo', 'on', 'nd', 'de']","[1767776.0, 6799370.0, 834594.0, 1079447.0, 1999086.0, 1237078.0, 3901750.0, 2451854.0, 2576478.0, 2559661.0]",2.3555023268667545,9.0,0.9542425094393248,3.0,5.088286544728201,7.111107990339974
85,trok,trˈɔk,trɔk,2428.0,2428.0,2428.0,"['tr', 'ro', 'ok']","[1199332.0, 1417238.0, 155024.0]",4.421828252228792,1164.0,3.06595298031387,1.0,5.194338941132414,5.194338941132414
86,eerst,ˈɪːrst,ɪːrst,16800.0,16800.0,16800.0,"['ee', 'er', 'rs', 'st']","[944702.0, 6799370.0, 834594.0, 2307098.0]",5.551595570604269,15706.0,4.196065593116304,1.0,5.434404174015954,5.434404174015954
87,plastic,plˈɑstɪk,plɑ - stɪk,50.0,7046.0,3548.0,"['pl', 'la', 'as', 'st', 'ti', 'ic']","[97171.0, 2444604.0, 504791.0, 2307098.0, 1353437.0, 911860.0]",4.174387741460764,658.0,2.818225893613956,2.0,4.218157460227436,4.637202348787126
88,handschoenen,hˈɑndsxunən,hɑnd - sxu - nən,1440.0,257062.0,87190.66666666667,"['ha', 'an', 'nd', 'ds', 'sc', 'ch', 'ho', 'oe', 'en', 'ne', 'en']","[1299761.0, 4143386.0, 2576478.0, 357110.0, 1079447.0, 1999086.0, 1237078.0, 837795.0, 8542439.0, 1475977.0, 8542439.0]",4.077312942079301,526.0,2.7209857441537397,3.0,4.847795859800062,5.45806952056466
89,aan,ˈaːn,aːn,1756.0,1756.0,1756.0,"['aa', 'an']","[2730922.0, 4143386.0]",6.580444371128541,167857.0,5.224939456981016,1.0,6.646758311755246,6.646758311755246
90,sportarts,,,,,,"['sp', 'po', 'or', 'rt', 'ta', 'ar', 'rt', 'ts']","[1518373.0, 490468.0, 2597583.0, 1154116.0, 892070.0, 1754491.0, 1154116.0, 235160.0]",,,0.0,,,
91,hockeyer,hˈɔkəˌiər,hɔ - kə - i - ər,4873.0,3606231.0,1077498.25,"['ho', 'oc', 'ck', 'ke', 'ey', 'ye', 'er']","[1237078.0, 270017.0, 832103.0, 3143026.0, 458590.0, 19288.0, 6799370.0]",2.2006003668810115,6.0,0.7781512503836436,3.0,3.8614086546956727,3.8614086546956727
