,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF,n_syllables,Min_Syll_Zipf,First_syllable_zipf
28,smeekte,smˈeːktə,smeːk - tə,116.0,995799.0,497957.5,"['sm', 'me', 'ee', 'ek', 'kt', 'te']","[89457.0, 1659354.0, 944702.0, 762098.0, 179298.0, 3522714.0]",3.8647048491978575,322.0,2.507855871695831,2.0,4.3980725355633234,4.3980725355633234
29,ten,tˈɛn,tɛn,2102.0,2102.0,2102.0,"['te', 'en']","[3522714.0, 8542439.0]",4.563136694255716,1612.0,3.207365037469072,1.0,6.997196333975271,6.997196333975271
30,einde,ˈɛɪndə,ɛɪn - də,22.0,208410.0,104216.0,"['ei', 'in', 'nd', 'de']","[2483878.0, 2264626.0, 2576478.0, 2559661.0]",5.049229275790402,4939.0,3.693639026161548,2.0,5.453557063130746,5.453557063130746
31,raad,rˈaːt,raːt,4640.0,4640.0,4640.0,"['ra', 'aa', 'ad']","[2220035.0, 2730922.0, 474501.0]",4.915528575779647,3630.0,3.5599066250361124,1.0,5.141591815124163,5.141591815124163
32,vorige,vˈoːrəɣə,voː - rə - ɣə,21981.0,805074.0,418603.6666666667,"['vo', 'or', 'ri', 'ig', 'ge']","[2123358.0, 2597583.0, 1787712.0, 960409.0, 3692145.0]",4.934370655532783,3791.0,3.5787537844264348,3.0,5.5807322496738045,5.5807322496738045
33,week,ʋˈeːk,ʋeːk,252.0,252.0,252.0,"['we', 'ee', 'ek']","[1965886.0, 944702.0, 762098.0]",5.368508176882491,10303.0,4.012963699825778,1.0,5.358068658313549,5.358068658313549
34,kreeg,krˈeːx,kreːx,55.0,55.0,55.0,"['kr', 're', 'ee', 'eg']","[88851.0, 1607974.0, 944702.0, 1125580.0]",5.22660802785234,7431.0,3.8710472613054994,1.0,5.101471181605952,5.101471181605952
35,assistent,ˌɑsɪstˈɛnt,ɑ - sɪ - stɛnt,301.0,632746.0,213085.0,"['as', 'ss', 'si', 'is', 'st', 'te', 'en', 'nt']","[504791.0, 1070262.0, 1091620.0, 3439538.0, 2307098.0, 3522714.0, 8542439.0, 1477178.0]",4.311670757342117,903.0,2.9556877503135057,3.0,4.20920261757451,5.222698163584916
36,bruine,brˈœynə,brœy - nə,13589.0,39948.0,26768.5,"['br', 'ru', 'ui', 'in', 'ne']","[191839.0, 1082518.0, 687028.0, 2264626.0, 1475977.0]",4.095865016360999,549.0,2.739572344450092,2.0,5.359991027288851,5.359991027288851
37,tanden,tˈɑndən,tɑn - dən,1202.0,7143.0,4172.5,"['ta', 'an', 'nd', 'de', 'en']","[892070.0, 4143386.0, 2576478.0, 2559661.0, 8542439.0]",4.625715181762997,1862.0,3.269979676645324,2.0,5.232755137563968,5.232755137563968
