Word,Bigrams,First_Bigram_Count,Min_Bigram_Count,First_bigram_Zipf,Min_bigram_Zipf
liep,"['li', 'ie', 'ep']",3369152.0,189025.0,6.527520733613047,5.276521544278673
toerist,"['to', 'oe', 'er', 'ri', 'is', 'st']",2236591.0,837795.0,6.34958676715011,5.9231382825206955
gered,"['ge', 'er', 're', 'ed']",3692145.0,636500.0,6.567278866173126,5.803799090305684
makelaars,"['ma', 'ak', 'ke', 'el', 'la', 'aa', 'ar', 'rs']",957657.0,762048.0,5.981210440987696,5.881982897514704
nieuwe,"['ni', 'ie', 'eu', 'uw', 'we']",638298.0,98896.0,5.805024164036852,4.995183117651712
kopers,"['ko', 'op', 'pe', 'er', 'rs']",466342.0,466342.0,5.66870546220922,5.66870546220922
gehaaid,"['ge', 'eh', 'ha', 'aa', 'ai', 'id']",3692145.0,134898.0,6.567278866173126,5.130008730279083
lekker,"['le', 'ek', 'kk', 'ke', 'er']",4397946.0,65091.0,6.643249991339862,4.8135276157671045
biertje,"['bi', 'ie', 'er', 'rt', 'tj', 'je']",743491.0,104770.0,5.871276299859255,5.020241089108949
gemaakt,"['ge', 'em', 'ma', 'aa', 'ak', 'kt']",3692145.0,179298.0,6.567278866173126,5.25357786738877
gerst,"['ge', 'er', 'rs', 'st']",3692145.0,834594.0,6.567278866173126,5.9214757785557595
eigenaar,"['ei', 'ig', 'ge', 'en', 'na', 'aa', 'ar']",2483878.0,523332.0,6.39513043574277,5.7187781210687945
eerste,"['ee', 'er', 'rs', 'st', 'te']",944702.0,834594.0,5.975295294504483,5.9214757785557595
ontving,"['on', 'nt', 'tv', 'vi', 'in', 'ng']",2451854.0,32599.0,6.389494782909221,4.513217600067939
knipoogde,"['kn', 'ni', 'ip', 'po', 'oo', 'og', 'gd', 'de']",81592.0,54132.0,4.91165290150171,4.733462095950156
heerlijke,"['he', 'ee', 'er', 'rl', 'li', 'ij', 'jk', 'ke']",822995.0,344538.0,5.915397724419865,5.537238388873952
jam,"['ja', 'am']",1312625.0,930317.0,6.118141002347157,5.968631423864705
verse,"['ve', 'er', 'rs', 'se']",1767776.0,763112.0,6.247427479128562,5.882588852034565
bramen,"['br', 'ra', 'am', 'me', 'en']",191839.0,191839.0,5.282939165754773,5.282939165754773
maakt,"['ma', 'aa', 'ak', 'kt']",957657.0,179298.0,5.981210440987696,5.25357786738877
verhuizen,"['ve', 'er', 'rh', 'hu', 'ui', 'iz', 'ze', 'en']",1767776.0,102177.0,6.247427479128562,5.009357397685993
jonge,"['jo', 'on', 'ng', 'ge']",866375.0,866375.0,5.937706413132577,5.937706413132577
dief,"['di', 'ie', 'ef']",1050254.0,169410.0,6.0212947577817895,5.228941606019496
vluchtte,"['vl', 'lu', 'uc', 'ch', 'ht', 'tt', 'te']",105784.0,94927.0,5.024424090392274,4.977394330993379
paspoort,"['pa', 'as', 'sp', 'po', 'oo', 'or', 'rt']",319786.0,319786.0,5.5048608048041485,5.5048608048041485
gestolen,"['ge', 'es', 'st', 'to', 'ol', 'le', 'en']",3692145.0,1784615.0,6.567278866173126,6.251544782340755
verkoper,"['ve', 'er', 'rk', 'ko', 'op', 'pe', 'er']",1767776.0,466342.0,6.247427479128562,5.66870546220922
