Word,n_syllables,Log10_Syllable_FREQcounts,Syllable_Zipfs,Min_Log10_FreqCount,Max_Log10_FreqCount,Mean_Log10_FreqCount,Min_Syll_Zipf,Bigrams,Bigram Occurrence Counts,Zipf
eigenaars,3.0,"(4.651665603922935, 6.125745990776331, 3.4299136977637543)","(5.878596988457877, 7.352677375311273, 4.6568450822986955)",3.4299136977637543,6.125745990776331,4.735775097487674,4.656845082298696,"['ei', 'ig', 'ge', 'en', 'na', 'aa', 'ar', 'rs']","[2483878.0, 960409.0, 3692145.0, 8542439.0, 523332.0, 2730922.0, 1754491.0, 834594.0]",3.525764042261712
van,1.0,"(5.744835707598842,)","(6.971767092133783,)",5.744835707598842,5.744835707598842,5.744835707598842,6.971767092133783,"['va', 'an']","[313419.0, 4143386.0]",7.013737971559847
het,1.0,"(6.032457179694622,)","(7.259388564229563,)",6.032457179694622,6.032457179694622,6.032457179694622,7.259388564229563,"['he', 'et']","[822995.0, 1684914.0]",7.384234986742789
landgoed,2.0,"(4.434872165596942, 5.2077662781016985)","(5.661803550131882, 6.434697662636639)",4.434872165596942,5.2077662781016985,4.82131922184932,5.661803550131882,"['la', 'an', 'nd', 'dg', 'go', 'oe', 'ed']","[2444604.0, 4143386.0, 2576478.0, 70106.0, 147343.0, 837795.0, 636500.0]",3.893321421940029
honderden,3.0,"(4.149711649687932, 5.479156216100646, 5.692720929176541)","(5.376643034222873, 6.706087600635588, 6.919652313711482)",4.149711649687932,5.692720929176541,5.1071962649883735,5.376643034222873,"['ho', 'on', 'nd', 'de', 'er', 'rd', 'de', 'en']","[1237078.0, 2451854.0, 2576478.0, 2559661.0, 6799370.0, 823655.0, 2559661.0, 8542439.0]",4.353761665290453
bezoekers,3.0,"(5.7420971887829415, 4.360081955105971, 3.8781194846971676)","(6.969028573317883, 5.587013339640912, 5.105050869232109)",3.878119484697168,5.7420971887829415,4.660099542862027,5.105050869232109,"['be', 'ez', 'zo', 'oe', 'ek', 'ke', 'er', 'rs']","[2443609.0, 100963.0, 40239.0, 837795.0, 762098.0, 3143026.0, 6799370.0, 834594.0]",3.995983763837177
rondleiden,3.0,"(4.133027672899877, 4.226419448648603, 5.692720929176541)","(5.359959057434819, 5.453350833183544, 6.919652313711482)",4.133027672899877,5.692720929176541,4.6840560169083405,5.359959057434819,"['ro', 'on', 'nd', 'dl', 'le', 'ei', 'id', 'de', 'en']","[1417238.0, 2451854.0, 2576478.0, 30978.0, 4397946.0, 2483878.0, 469631.0, 2559661.0, 8542439.0]",3.466092037166004
trots,1.0,"(3.6935510855959133,)","(4.920482470130855,)",3.693551085595913,3.693551085595913,3.693551085595913,4.920482470130855,"['tr', 'ro', 'ot', 'ts']","[1199332.0, 1417238.0, 1595020.0, 235160.0]",5.04347694690131
gisteren,3.0,"(4.168556406863725, 5.910038726309899, 5.482819293405307)","(5.395487791398666, 7.13697011084484, 6.7097506779402485)",4.168556406863725,5.910038726309899,5.187138142192977,5.395487791398666,"['gi', 'is', 'st', 'te', 'er', 're', 'en']","[669114.0, 3439538.0, 2307098.0, 3522714.0, 6799370.0, 1607974.0, 8542439.0]",5.116226299008707
had,1.0,"(5.092467992833974,)","(6.319399377368915,)",5.092467992833974,5.092467992833974,5.092467992833974,6.319399377368915,"['ha', 'ad']","[1299761.0, 474501.0]",6.319780818520769
brede,2.0,"(3.740993931584886, 6.234172950952972)","(4.967925316119827, 7.461104335487914)",3.740993931584886,6.234172950952972,4.98758344126893,4.967925316119827,"['br', 're', 'ed', 'de']","[191839.0, 1607974.0, 636500.0, 2559661.0]",3.495381413267991
bodyguard,3.0,"(4.595297767843439, 4.153662453575496, 2.2764618041732443)","(5.82222915237838, 5.380593838110437, 3.5033931887081855)",2.2764618041732443,4.595297767843439,3.6751406751973934,3.503393188708185,"['bo', 'od', 'dy', 'yg', 'gu', 'ua', 'ar', 'rd']","[1606593.0, 193327.0, 29948.0, 317.0, 24620.0, 213527.0, 1754491.0, 823655.0]",3.376691625936693
filmster,2.0,"(3.9941411111261225, 4.436417104046368)","(5.221072495661064, 5.663348488581309)",3.9941411111261225,4.436417104046368,4.215279107586245,5.221072495661064,"['fi', 'il', 'lm', 'ms', 'st', 'te', 'er']","[301366.0, 2591190.0, 28212.0, 35219.0, 2307098.0, 3522714.0, 6799370.0]",3.7852546068691626
