,Word,Number of Syllables,Minimum Syllable Frequency,Zipf Word Frequency,Maximum Syllable Frequency,Mean Syllable Frequency,Minimum Bigram Frequency,Maximum Bigram Frequency,Mean Bigram Frequency,Number of Letters
1549,nieuwbouw,2.0,3.753353212641496,2.4694456791735915,4.476860599826231,4.115106906233864,3.934144811792477,6.317368325560973,5.838094005394374,9
1550,prestatie,3.0,3.486430478854434,3.726570189138491,4.992080528828386,4.405064762891073,5.38521648474895,6.363066230945546,6.1485048658494925,9
1551,niets,1.0,4.753896985507329,6.106642804105747,4.753896985507329,4.753896985507329,5.371365298317344,6.317368325560973,6.063994338375235,5
1552,vroegere,3.0,3.8387861449465945,3.820885178315173,6.125745990776331,5.0722051237251495,4.794013758480958,6.832468738608579,6.346418365221705,8
1553,afhankelijke,5.0,4.542651176455405,1.957562318194717,5.232299665207751,4.948269331856353,3.400710636773231,6.669429206024889,6.31803315348458,12
1554,positie,3.0,4.619124648811094,4.752920869218102,4.992080528828386,4.7543612695566,5.522895248157097,6.317368325560973,5.995178506676386,7
1555,past,1.0,3.513750150081824,4.645314165984376,3.5137501500818233,3.5137501500818233,5.5048608048041485,6.363066230945546,6.018655846682761,4
1556,veranderde,4.0,5.094111105508989,4.32677817560486,6.234172950952972,5.67290421959191,5.915745866435793,6.832468738608579,6.526474269715433,10
1557,jaren,2.0,5.278261884199488,5.221316707034722,5.482819293405307,5.380540588802397,6.118141002347157,6.931581937103762,6.519090412046521,5
1558,breekt,1.0,3.2773799746672547,4.380808192131525,3.2773799746672547,3.2773799746672547,5.25357786738877,6.206279292269118,5.867575429327241,6
1559,onnodige,4.0,4.903502370898396,3.337773559906323,6.125745990776331,5.305928014981345,5.286294758140591,6.567278866173126,6.152367637393966,8
1560,drama,2.0,4.198162039046076,4.044811185990374,5.233899315776511,4.716030677411293,5.686762250004548,6.346360017006757,6.060145463168239,5
1561,los,1.0,4.250785826687034,5.263021172973383,4.250785826687034,4.250785826687034,5.769531665224492,6.074866155013042,5.948497322222994,3
1562,vraag,1.0,4.309054985186408,5.636467474963848,4.309054985186408,4.309054985186408,4.794013758480958,6.436309455120861,6.13141445945176,5
1563,grondstoffen,3.0,3.691346764134822,2.786866091025742,3.92236209678479,3.82631043906993,5.0865128747113735,6.931581937103762,6.297272657851314,12
1564,naam,1.0,4.492383185039624,5.668947697293168,4.492383185039624,4.492383185039624,5.7187781210687945,6.436309455120861,6.1445299976057495,4
1565,noemen,2.0,3.9298274812306913,5.147964058213706,5.440447792666458,4.685137636948575,5.9231382825206955,6.931581937103762,6.408641874902246,6
1566,ons,1.0,5.010545874110679,6.358376510462276,5.0105458741106785,5.0105458741106785,5.78705362000277,6.389494782909221,6.185298592696634,3
1567,geldt,1.0,3.0629578340845103,4.417708135686468,3.0629578340845103,3.0629578340845103,4.85547069611833,6.669429206024889,6.3653028554948525,5
1568,verlaging,3.0,4.595727636913831,2.2585923138586983,5.884176605805033,5.202907794971125,5.537238388873952,6.832468738608579,6.342851335009897,9
